name,freq,value
marati,1,PER
patten,1,PER
gatesi,1,PER
manda,1,PER
stewart,2,PER
sulu,1,PER
kadi,7,PER
aleksius,1,PER
kirill,4,PER
max,2,PER
vahur kraft,26,PER
jäägeri,1,PER
angela merkel,17,PER
brand,2,PER
toolse,1,PER
zaitsev,1,PER
pro,6,PER
ants juske,1,PER
abrams,7,PER
tarvo,1,PER
rumessen,2,PER
magee,1,PER
alar,4,PER
pal,2,PER
tiiu,9,PER
gerd kanter,1,PER
aris ameerika,1,PER
vassekin,1,PER
rein kaie,1,PER
võrts,1,PER
kristjan,10,PER
viktor,4,PER
saarinen,2,PER
jaan manitski,4,PER
manitski,5,PER
sommerfeldt,1,PER
arvi,1,PER
asso,2,PER
janek kalv,1,PER
janek kalvi,7,PER
aleksandr skoblov,1,PER
janek,27,PER
tiina mitt,1,PER
ellemann,1,PER
kiilt,1,PER
baranova,1,PER
amelie elering,1,PER
sirl,2,PER
gore,2,PER
sander,14,PER
air baltic,27,PER
airbaltic,3,PER
sposato angott,1,PER
riia riia,1,PER
flick,1,PER
baltic,16,PER
baltica baltica,1,PER
ladegasti omar,1,PER
alissa,1,PER
lig,5,PER
danhammer,2,PER
geographic,1,PER
tero taskila,28,PER
sten tamkivi,2,PER
lauri vahtrele,1,PER
vahtre,2,PER
siiri,3,PER
inga jagomäe,1,PER
maarja,7,PER
dental,1,PER
timo,5,PER
saul niinistö,6,PER
ledger,1,PER
kellegile,1,PER
salme,1,PER
simm,9,PER
katja,3,PER
tõnis lukas,44,PER
lukas,13,PER
kannik,1,PER
enn tarto,1,PER
jaanus reisner lik,1,PER
altosaar,1,PER
andres ammas,5,PER
sam,1,PER
seema,2,PER
asics,1,PER
pihl,8,PER
elmu,1,PER
tootmisjüri,1,PER
jüri ratasel,12,PER
anders,1,PER
ostrat,1,PER
mose,1,PER
csaba,2,PER
jerzy buzek,1,PER
marianne,1,PER
aleksander einseln,2,PER
saarva,1,PER
johan laidoner,1,PER
johan laidoner ants,1,PER
idea,3,PER
ines,3,PER
öcalan basra,1,PER
mizera,1,PER
terra,1,PER
laidoner,2,PER
väärt,1,PER
tarik,1,PER
zavood,1,PER
olav jüri luik indrek varik rein,1,PER
sergei,5,PER
piirissiis,1,PER
vaher,11,PER
vaikma,1,PER
linda,1,PER
ene,6,PER
jüri raidal,1,PER
toivo asmer,7,PER
jüri raidla,15,PER
red,3,PER
raidla,3,PER
reps,40,PER
ideon,1,PER
järvan,1,PER
anne sulling,14,PER
steiner,2,PER
märten rossi,1,PER
indrek neiveltile,2,PER
zenjov indrek neivelt,1,PER
noop,1,PER
paula,1,PER
atso,1,PER
aladdin gaming,1,PER
malin,1,PER
karen,2,PER
oliver,7,PER
ainsaar,1,PER
talmar peter,1,PER
rask,4,PER
sten,2,PER
prükk,1,PER
futura,1,PER
sarapuu,7,PER
henrik hololei,2,PER
meri georg,1,PER
boriss,2,PER
mihhail gorbats,2,PER
maspanov,1,PER
lucy,2,PER
rein veidemann,8,PER
marju lauristin marie,1,PER
august,1,PER
toomas indrek,1,PER
tim,4,PER
kurt vonnegu,1,PER
mazda,1,PER
hemingway,1,PER
pruus,1,PER
valeri maksimov,1,PER
leet,2,PER
ardo hanssoni,2,PER
hanno pevkur,71,PER
alo mattiisen,2,PER
kustas,1,PER
anderseni,1,PER
hannes astoki,6,PER
jüri adams kustaa goes,1,PER
siiri oviir,5,PER
paluste,1,PER
philips,3,PER
savi,7,PER
ignar,21,PER
randar,1,PER
viljakas,1,PER
quelle,1,PER
tammsaare,21,PER
hun,1,PER
taal steni,1,PER
savon,1,PER
toomas kilgas,1,PER
maret,7,PER
kristi,6,PER
maxima,10,PER
martin luther,1,PER
olav osolin,5,PER
paulig,2,PER
niklus,1,PER
marie,4,PER
raukas,2,PER
marek marek,1,PER
arunas,1,PER
erik terk,1,PER
neivelt,10,PER
silver,31,PER
andres tupits,1,PER
hanssoni jürgen,1,PER
siim aid,1,PER
serenade,1,PER
martin,37,PER
väljataga,1,PER
peter rossi,1,PER
stage,1,PER
hanson,3,PER
kraft,2,PER
buumi,1,PER
soros,1,PER
seederi,2,PER
linnart mäll,1,PER
selle liina,1,PER
zereli,1,PER
norman,4,PER
peeter vähi,1,PER
siimann,5,PER
adam,4,PER
salazar,1,PER
georgi,3,PER
vladlen,1,PER
jesper,1,PER
laaneots,10,PER
kitzberg,3,PER
alfred rosenberg,1,PER
rosenberg,2,PER
anton,8,PER
maik,1,PER
kansas reimand,1,PER
tyson,4,PER
medvedev,4,PER
barbara olson,1,PER
damaraga,1,PER
andres viisemann,5,PER
viisemann,1,PER
priit,224,PER
helen rits,1,PER
juozas,2,PER
ottender,1,PER
tamula,1,PER
tunne-väldo kelam,3,PER
anu ruussaar markson,1,PER
igor gräzin,20,PER
elar,1,PER
liidia gruusia,1,PER
taisto,2,PER
alfred,2,PER
küllo arjakas,3,PER
riho terra,1,PER
kerde,1,PER
enno,4,PER
pipa,1,PER
haas,1,PER
urmas ott,3,PER
berman,3,PER
laur,2,PER
sergo,1,PER
tam,1,PER
allan martinson,3,PER
teddy,1,PER
niina,3,PER
kuperjanov,5,PER
konstantin,1,PER
tabor,2,PER
einseln,3,PER
siuksei,3,PER
mati raidma,3,PER
muuli,12,PER
süüdi leo,1,PER
antson,4,PER
hansonile,1,PER
nicholson,1,PER
dunga,1,PER
meelis paavel,2,PER
graham,2,PER
roberto,1,PER
mare,3,PER
barbara,8,PER
tõnis palts,10,PER
ninas,1,PER
inariviis,1,PER
dennis konsumi,1,PER
jürgen ligile,8,PER
sandor,2,PER
ollin,1,PER
kennedy,6,PER
joose,1,PER
andrus öövel,1,PER
mizuho,1,PER
grabb,1,PER
saara,1,PER
pikkor,1,PER
demosthenes,1,PER
viida aaviksoo,1,PER
